"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
113,"高雄商旅飯店股份有限公司","第39條","高市勞條字第10530309000號","105/01/13"
114,"統一速達股份有限公司","第32條第2項","高市勞條字第10439925900號","105/01/12"
115,"煒智企業有限公司","第24條","高市勞條字第10439926700號","105/01/12"
,,"第30條第5項",,
,,"第38條",,
116,"詠伸國際企業有限公司","第32條第2項","高市勞條字第10530302600號","105/01/12"
,,"第36條",,
117,"瑪琪朵朵有限公司","第24條","高市勞條字第10440140800號","105/01/13"
118,"寬興科技股份有限公司","第23條第1項","高市勞條字第10530301200號","105/01/14"
119,"永盛綜合企業有限公司","第39條","高市勞條字第10530301900號","105/01/14"
120,"許棋楠即真手藝壽司","第21條第1項","高市勞條字第10530320100號","105/01/14"
121,"百康通運有限公司","第36條","高市勞條字第10530302200號","105/01/14"
122,"國雲保全股份有限公司","第22條第2項","高市勞條字第10440284200號","105/01/14"
123,"金永隆實業股份有限公司","第22條第2項","高市勞條字第10530076300號","105/01/14"
124,"巨將保全股份有限公司","第30條第5項","高市勞條字第10439888500號","105/01/14"
125,"麗鴻科技股份有限公司","第24條","高市勞條字第10439887800號","105/01/15"
,,"第38條",,
126,"裕達冷凍食品有限公司","第24條","高市勞條字第10440345100號","105/01/15"
127,"洪慈怡","第21條第1項","高市勞條字第10530320200號","105/01/15"
128,"許貴皇","第80條","高市勞條字第10530253200號","105/01/15"
129,"富滄海洋股份有限公司","第22條第2項","高市勞條字第10440077800號","105/01/15"
,,"第30條第5項",,
130,"明達通運有限公司","第36條","高市勞條字第10440343400號","105/01/18"
131,"葉耀鴻即御川屋","第30條第5項","高市勞條字第10530028400號","105/01/19"
,,"第36條","高市勞條字第1053002840A號","105/01/19"
132,"天然成生物科技有限公司","第30條第5項","高市勞條字第10530076700號","105/01/18"
133,"亞米家保全有限公司","第24條","高市勞條字第10530028200號","105/01/18"
,,"第32條第2項",,
,,"第36條",,
134,"良安行有限公司","第34條第2項","高市勞條字第10530028600號","105/01/18"
135,"皇緯實業股份有限公司","第24條","高市勞條字第10530396800號","105/01/18"
,,"第39條",,
136,"金祥益工程有限公司","第32條第2項","高市勞條字第10530276200號","105/01/18"
,,"第36條",,
137,"台灣弼奧股份有限公司","第32條第2項","高市勞條字第10440378500號","105/01/19"
138,"長春醫院","第22條第2項","高市勞條字第10440345200號","105/01/19"
139,"一亨運動用品股份有限公司","第49條第1項","高市勞條字第10530343400號","105/01/19"
